Project,Category,Funding Round,Amount,Investors,Funding Date
YOAKE,NFTs,Strategic,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Record,Others,Undisclosed,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Rate Arbitrage Nexus,Others,Strategic,--,Castrum Capital,"Feb 12, 2026"
"STBL
STBL",DeFi,Strategic,--,OKX Ventures,"Feb 12, 2026"
Levl,Infrastructure,Seed,$7.00M,"Galaxy Ventures
Variant
FalconX
…","Feb 11, 2026"
Bullshot,DeFi,Undisclosed,$7.50M,"Animoca Brands
TB Ventures
CREDIT SCEND
…","Feb 10, 2026"
edgeX,DeFi,Strategic,--,Circle Ventures,"Feb 10, 2026"
"LayerZero
ZRO",Infrastructure,Strategic,--,Tether,"Feb 10, 2026"
Xross Road,Others,Pre-Seed,$1.50M,"Arbitrum Gaming Ventures
Decima Fund
Taisu Ventures
…","Feb 10, 2026"
Zoth,DeFi,Strategic,--,"Taisu Ventures
Luca Netz","Feb 09, 2026"
t-0 Network,Infrastructure,Strategic,--,Tether,"Feb 06, 2026"
Ruvo,DeFi,Seed,$4.60M,"1confirmation
Coinbase Ventures
First Check Ventures
…","Feb 06, 2026"
Relay,DeFi,Series B,$17.00M,"Archetype
USV","Feb 05, 2026"
Anchorage,CeFi,Strategic,$100.00M,Tether,"Feb 05, 2026"
Penguin Securities,CeFi,Pre-Seed,$17.85M,--,"Feb 05, 2026"
Plutus,CeFi,Undisclosed,$2.30M,--,"Feb 05, 2026"
TRM Labs,Infrastructure,Series C,$70.00M,"Blockchain Capital
Goldman Sachs
Bessemer Venture Partners
…","Feb 04, 2026"
"Huddle01
HUDL",Web3,Undisclosed,--,Tandem,"Feb 03, 2026"
Kairos,Others,Undisclosed,$2.50M,Andreessen Horowitz(a16z),"Feb 03, 2026"
Bluff,Web3,Strategic,$21.00M,"1kx
Makers Fund
Maximum Frequency
…","Feb 03, 2026"
YOAKE,NFTs,Strategic,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Record,Others,Undisclosed,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Rate Arbitrage Nexus,Others,Strategic,--,Castrum Capital,"Feb 12, 2026"
"STBL
STBL",DeFi,Strategic,--,OKX Ventures,"Feb 12, 2026"
Levl,Infrastructure,Seed,$7.00M,"Galaxy Ventures
Variant
FalconX
…","Feb 11, 2026"
Bullshot,DeFi,Undisclosed,$7.50M,"Animoca Brands
TB Ventures
CREDIT SCEND
…","Feb 10, 2026"
edgeX,DeFi,Strategic,--,Circle Ventures,"Feb 10, 2026"
"LayerZero
ZRO",Infrastructure,Strategic,--,Tether,"Feb 10, 2026"
Xross Road,Others,Pre-Seed,$1.50M,"Arbitrum Gaming Ventures
Decima Fund
Taisu Ventures
…","Feb 10, 2026"
Zoth,DeFi,Strategic,--,"Taisu Ventures
Luca Netz","Feb 09, 2026"
t-0 Network,Infrastructure,Strategic,--,Tether,"Feb 06, 2026"
Ruvo,DeFi,Seed,$4.60M,"1confirmation
Coinbase Ventures
First Check Ventures
…","Feb 06, 2026"
Relay,DeFi,Series B,$17.00M,"Archetype
USV","Feb 05, 2026"
Anchorage,CeFi,Strategic,$100.00M,Tether,"Feb 05, 2026"
Penguin Securities,CeFi,Pre-Seed,$17.85M,--,"Feb 05, 2026"
Plutus,CeFi,Undisclosed,$2.30M,--,"Feb 05, 2026"
TRM Labs,Infrastructure,Series C,$70.00M,"Blockchain Capital
Goldman Sachs
Bessemer Venture Partners
…","Feb 04, 2026"
"Huddle01
HUDL",Web3,Undisclosed,--,Tandem,"Feb 03, 2026"
Kairos,Others,Undisclosed,$2.50M,Andreessen Horowitz(a16z),"Feb 03, 2026"
Bluff,Web3,Strategic,$21.00M,"1kx
Makers Fund
Maximum Frequency
…","Feb 03, 2026"
YOAKE,NFTs,Strategic,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Record,Others,Undisclosed,$3.20M,Sony Innovation Fund,"Feb 13, 2026"
Rate Arbitrage Nexus,Others,Strategic,--,Castrum Capital,"Feb 12, 2026"
"STBL
STBL",DeFi,Strategic,--,OKX Ventures,"Feb 12, 2026"
Levl,Infrastructure,Seed,$7.00M,"Galaxy Ventures
Variant
FalconX
…","Feb 11, 2026"
Bullshot,DeFi,Undisclosed,$7.50M,"Animoca Brands
TB Ventures
CREDIT SCEND
…","Feb 10, 2026"
edgeX,DeFi,Strategic,--,Circle Ventures,"Feb 10, 2026"
"LayerZero
ZRO",Infrastructure,Strategic,--,Tether,"Feb 10, 2026"
Xross Road,Others,Pre-Seed,$1.50M,"Arbitrum Gaming Ventures
Decima Fund
Taisu Ventures
…","Feb 10, 2026"
Zoth,DeFi,Strategic,--,"Taisu Ventures
Luca Netz","Feb 09, 2026"
t-0 Network,Infrastructure,Strategic,--,Tether,"Feb 06, 2026"
Ruvo,DeFi,Seed,$4.60M,"1confirmation
Coinbase Ventures
First Check Ventures
…","Feb 06, 2026"
Relay,DeFi,Series B,$17.00M,"Archetype
USV","Feb 05, 2026"
Anchorage,CeFi,Strategic,$100.00M,Tether,"Feb 05, 2026"
Penguin Securities,CeFi,Pre-Seed,$17.85M,--,"Feb 05, 2026"
Plutus,CeFi,Undisclosed,$2.30M,--,"Feb 05, 2026"
TRM Labs,Infrastructure,Series C,$70.00M,"Blockchain Capital
Goldman Sachs
Bessemer Venture Partners
…","Feb 04, 2026"
"Huddle01
HUDL",Web3,Undisclosed,--,Tandem,"Feb 03, 2026"
Kairos,Others,Undisclosed,$2.50M,Andreessen Horowitz(a16z),"Feb 03, 2026"
Bluff,Web3,Strategic,$21.00M,"1kx
Makers Fund
Maximum Frequency
…","Feb 03, 2026"
